华茂苑 3室1厅 580万|580|104|华茂苑|3室1厅
加福广场  精装大两室  出售|555|106|加福广场华尔登府邸|2室2厅
一手业主红本在手 可免个税 随时看房|840|107|黄埔雅苑一期|3室2厅
锦绣东方 通透大3房 满五唯一 龙城公园傍 实验近|450|96|锦绣东方|3室2厅
弘雅花园雅豪轩三期 3室1厅 385万|385|77|弘雅花园雅豪轩三期|3室1厅
满五唯一近地铁 看房随时 退休回老家业主诚售|228|41|梅安居|2室1厅
福田CBD大2居室，满5年V一住宅，诚心卖|460|84|国都高尔夫一期|2室2厅
港隆城 精装正规两房 满五唯一 税费少 住家安静|270|48|鸿隆广场|2室2厅
康城精装两房，满五唯一，南向厅出阳台，明厨明卫|302|73|中海康城国际一期|2室2厅
大运新城 水晶之城 地铁口 总价低 满五年 小3房房主自荐|253|72|水晶之城|3室1厅
安静南向看海景，满五红本税费少，随时看房|191|41|韵动家园|1室0厅
中海康城朝南安静看花园 实用三房两卫  随时可以看房房主自荐|366|87|中海康城国际一期|3室2厅
尚书苑 东南向两房 精装修 满五年 拓展7.5平大平台|440|67|尚书苑|2室1厅
珠江旭景佳园客厅出阳台两房保养好|360|79|珠江旭景佳园|2室1厅
桐林公寓 厅出阳台 满五红本 随时看房 诚售|370|62|桐林公寓|2室1厅
凯旋豪庭客厅房间全南朝向，近莲花山公园，红本在手！|470|66|凯旋豪庭|2室1厅
中海康城国际一期 3室2厅 315万|315|72|中海康城国际一期|3室2厅
高层南向两房 安静舒适 户型方正  通风采光好|435|61|帝港海湾豪园|2室1厅
万科金域蓝湾二期 3室2厅 830万|830|109|万科金域蓝湾二期|3室2厅
南岭花园实用两房可以改三房满五年中间楼层房主自荐|248|79|南岭花园|2室2厅
丹竹头地铁 满两年 实用三房 装修保养好|250|62|中兆花园|3室2厅
朗钜御风庭 2室1厅 340万|340|58|朗钜御风庭|2室1厅
红本在手，看房随时，业主诚心放卖|425|64|帝港海湾豪园|2室2厅
地铁7号线桃源村站 桃源村二期 南向三房 中间楼层|465|77|桃源村二期|3室2厅
诺德假日花园 3室2厅 740万|740|79|诺德假日花园|3室2厅
婚房保养好 满2年 赠送入户花园 主体朝花园 安静舒适|330|76|中海康城国际一期|3室2厅
红本在手，高层，安静，地铁口物业|435|78|众孚大厦|2室2厅
红本税少，全新装修大三房，看花园|428|75|碧海名园|3室2厅
5,7号线  太安地铁口 高楼层  看水库全景|435|126|东乐花园|4室1厅
高楼层看花园，满五唯一免个税，业主急卖看房方便|1200|149|尚都二期|4室2厅
信托花园 5室2厅 1190万|1190|156|信托花园|5室2厅
龙园山庄大两房，南北通透，全新精致装修，税费少.|268|71|龙园山庄|2室2厅
旭飞华安园 2室1厅 230万|230|41|旭飞华安园|2室1厅
满五唯一，精装修保养很好，买过来可以直接拎包入住房主自荐|430|76|招商果岭花园|2室2厅
碧水龙庭 3期魔方户型 送入户花园  南北向|430|74|碧水龙庭|3室1厅
百合星城两居室 看房方便 业主诚心放卖 布吉地铁口房主自荐|279|78|百合星城一期|2室1厅
公园大地 前后双阳台 入户花园六米挑高 100万精装|990|167|公园大地三期|5室2厅
老街地铁口花园小区 满五唯一 业主诚心出售|249|37|星桂园|2室1厅
碧水龙庭 三期 中高楼层 南向看花园  2+1户型 有钥匙房主自荐|390|73|碧水龙庭|2室1厅
荷坳地铁口 水晶之城 精装修大3房 满五唯一  安静舒适|325|94|水晶之城|3室1厅
阳光花园精装三房两厅两卫，随时拎包入住|328|91|阳光花园|3室2厅
壹方城旁，精准复式房，可以上滨海小教育，费用少|320|37|富通好旺角一期|1室1厅
翡翠星光园 2室1厅 280万|280|61|翡翠星光园|2室1厅
