旬野菜新派日式火锅(卓悦intown店)|0755-83388036|+
皇城老妈火锅|0755-26065999|+
成都瓜串串(水围店)|, 13424297234|+
渔惑广西山水涮锅(皇庭广场店)|0755-82797990|+
刘宝老家铜锅串串|0755-82789436|+
钢管厂五区小郡肝串串香(罗湖店)|0755-32919299|+
潮味壹品汕头牛肉火锅(宝源店)|0755-29995388|+
清水煮一切(海岸城店)|, 18127057953|
我想静静串串香(海岸城店)|0755-82508616|
灵境胡同京味儿火锅|0755-83233406|+
汕头八合里海记牛肉店(海岸城店)|0755-86706575|
顶真牛肉潮式火锅(湾厦店)|0755-88273303|
网红阳少爷会烫嘴的冷锅串|0755-82200877|
老佛爷炭火蛙锅(香蜜湖店)|0755-22201909|
小龙坎老火锅(皇岗店)|0755-82552766|+
泰炙泰式火锅THAI|0755-82831070|
蜀大侠火锅(白石洲店)|0755-26900661|
汕头八合里海记牛肉店(南园路店)|0755-83650456|
汕头八合里海记牛肉店(南头店)|0755-86224670|
小龙坎老火锅(梅林卓越店)|0755-88283616|+
汕头八合里海记牛肉店(南湖店)|0755-22310531|
汕头八合里海记牛肉店(购物公园店)|0755-88605746|
汕头八合里海记牛肉店(卓悦INTOWN店)|0755-82783823|
卅卅SASA(欢乐海岸店)|0755-86548316|
饶平家乡海鲜牛肉馆|0755-28220890|+
汕头八合里海记牛肉店(海德店)|0755-86724376|
湊湊火锅·茶憩(来福士广场店)|0755-86718799|
